DevType,Count,Percentage
"Developer, full-stack",9758,38.83
"Developer, back-end",5209,20.73
"Developer, front-end",1548,6.16
"Developer, desktop or enterprise applications",1241,4.94
"Developer, embedded applications or devices",910,3.62
"Developer, mobile",901,3.58
Data engineer,596,2.37
Engineering manager,580,2.31
Other (please specify):,555,2.21
DevOps specialist,453,1.8
Data scientist or machine learning specialist,437,1.74
Research & Development role,388,1.54
"Senior Executive (C-Suite, VP, etc.)",287,1.14
Cloud infrastructure engineer,287,1.14
"Developer, game or graphics",269,1.07
